Date,Location,Aboard,Fatalities
6/4/2002,"Oiapoque, Amapa, Brazil",5,5
6/11/2002,"Winnipeg, Manitoba",8,1
6/12/2002,"Near Gardez, Afghanistan",10,3
7/1/2002,"Uberlingen, Germany",71,71
7/4/2002,"San Dimas, California",2,2
7/4/2002,"Bangui, Central African Republic",27,25
7/12/2002,"Port Alsworth, Alaska",4,4
7/16/2002,"Near Long Barai, Indonesia",10,10
7/16/2002,"Off Cromer, Norfork, England",11,11
7/17/2002,"Surkhet, Nepal",4,4
7/27/2002,"Lviv, Ukraine",2,0
7/28/2002,"Moscow, Russia",16,14
8/7/2002,"Caguas, Puerto Rico",10,10
8/15/2002,"Kadjuduwa Watta, Sri Lanka",5,5
8/19/2002,"Khankala, Chechnya",147,121
8/22/2002,"Pokhara, Nepal",18,18
8/29/2002,"Near Ayan, Russia",16,16
8/30/2002,"Lexington, Kentucky",5,1
8/30/2002,"Rio Branco, Brazil",31,23
9/2/2002,"Near Xichang, China",3,3
9/4/2002,"High Prarie, Alberta, Canada",2,2
9/13/2002,"Pucallpa, Peru",6,6
9/14/2002,"Paranapanema, Sao Paulo, Brazil",2,2
9/28/2002,"Near Natashquan, Quebec, Canada",4,3
10/1/2002,"Vasco, India",12,12
10/7/2002,"Santa Cruz do Sul, Brazil",5,1
10/23/2002,"Spanish Fort, Alabama",1,1
10/25/2002,"Eveleth, Minnesota",8,8
11/6/2002,"Near Niederanven, Luxembourg",22,20
11/7/2002,"Tarakan, Indonesia",10,7
11/8/2002,"Taos, New Mexico",2,2
11/11/2002,"Manila, Philippines",34,19
11/28/2002,"Masai Mara Game Reserve, Kenya",20,1
12/9/2002,"Mena, Arkansas",3,3
12/13/2002,"Gohu Airstrip, Papua New Guinea",8,8
11/15/2003,"Mosul, Iraq",22,17
12/17/2002,"Rockford, Illinois",1,1
12/21/2002,"Off Pachao Tao, Taiwan",2,2
12/23/2002,"Near Isfanan, Iran",44,44
12/25/2002,"Off Manteo, North Carolina",1,1
12/26/2002,"Curitiba, Brazil",16,3
12/27/2002,"Anjouan, Comoros Islands",16,1
1/8/2003,"Diyarbakir, Turkey",80,75
1/8/2003,"Charlotte, North Carolina",21,21
1/9/2003,"Near Chachapoyas, Peru",46,46
1/17/2003,"Near Ndjolé, Gabon",7,7
1/24/2003,"Busia, Kenya",13,3
1/31/2003,"Baucau, East Timor",6,6
2/7/2003,"Near Agadir, Morocco",8,8
2/10/2003,"Tallinn, Estonia",3,2
2/16/2003,"Ferguson, Kentucky",7,3
2/19/2003,"Near Shahdad, Iran",275,275
2/20/2003,"Near Kohat, Pakistan",17,17
3/1/2003,"Near Barki, Russia",25,11
3/6/2003,"Tamanrasset, Algeria",103,102
3/27/2003,"Mulia, Indonesia",16,4
3/28/2003,"New Vienna, Iowa",3,3
5/8/2003,"Near Kinshasa, Congo",200,129
5/26/2003,"Near Macka, Turkey",75,75
5/28/2003,"Talkeetna, Alaska",4,4
6/1/2003,"Milan, Italy",2,2
6/4/2003,"Near Oiapoque,  Brazil",5,5
6/6/2003,"Christchurch, New Zealand",10,8
6/11/2003,"Belo Horizonte, Brazil",4,4
6/15/2003,"Volcano, Hawaii",4,4
6/22/2003,"Near Brest, France",24,1
6/25/2003,"Near Rudshour, Iran",7,7
6/25/2003,"Anchor Point, Alaska",3,3
6/26/2003,"Near Rooisand Desert Ranch, Namibia",4,4
6/30/2003,"Blida, Algeria",4,4
7/1/2003,"Belem, Para, Brazil",4,4
7/5/2003,"Macaé, Rio de Janeiro, Brazil",5,5
7/8/2003,"Port Sudan, Sudan",117,116
7/13/2003,"Off Treasure Cay, Bahamas",10,2
7/13/2003,"Near San Cristobal, Venezuela",10,4
7/19/2003,"Mount Kenya, Kenya",14,14
7/23/2003,"Waialeale,Kauai, Hawaii",5,5
8/4/2003,"Groton, Connecticut",2,2
8/8/2003,"Tocomita, Venezuela",16,1
8/20/2003,"Kamchatka Peninsula, Russia",20,20
8/24/2003,"Cap Haitien, Haiti",21,21
8/26/2003,"Off Hyannis, Massachusetts",2,2
9/11/2003,"Near Summer Beaver, Canada",8,8
9/19/2003,"Del Rio, Texas",2,1
9/19/2003,"Near La Quemada, Mexico",6,6
9/20/2003,"Near Meadview, Arizona",7,7
9/27/2003,"Gaspé, Quebec, Canada",3,3
10/3/2003,Sao Gabriel de Cachoeria,4,4
10/3/2003,"Off Waikanae, New Zealand",2,2
10/11/2003,"Uriman, Venezuela",2,1
10/26/2003,"Buenos Aires, Argentina",5,5
10/27/2003,"Tampico, Mexico",3,3
10/29/2003,"Cody, Wyoming",1,1
11/2/2003,"Near Hasi, Iraq",36,15
11/8/2003,"Near Ogle, Guyana",7,2
11/8/2003,"200 miles NE of Derby, Australia",4,4
11/29/2003,"Spokane, Washington",1,1
11/29/2003,"Boende, Congo",24,20
12/16/2003,"Jellicoe, Ontario, Canada",3,2
12/18/2003,"Mitu, Colombia",3,3
12/23/2003,"Helendale, California",2,2
12/25/2003,"Cotonou, Benin",161,140
1/3/2004,"Off Sharm el Sheikh, Egypt",148,148
1/13/2004,"Tashkent, Uzbekistan",37,37
1/17/2004,"Lake Erie, off Pelee Island, Ontario, Canada",10,10
1/28/2004,"Ghardaïa, Algeria",5,1
2/6/2004,"Bitonja, Bosnia-Herzegovina",9,9
2/10/2004,"Sharjah, United Arab Emirates",46,43
2/24/2004,"Cagliari, Italy",6,6
3/1/2004,"Trefoil Island, TAS, Australia",4,4
3/4/2004,,7,3
3/10/2004,"San Diego-Miramar NAS, California",4,4
7/12/2004,"Off Beef Island, British Virgin Islands",2,1
3/16/2004,"Tonopah, Nevada",5,5
3/18/2004,"Hamilton Island, QLD, Australia",6,6
3/21/2004,"Pyote, Texas",5,4
5/2/2004,"Near Milpillas, Mexico",7,7
5/4/2004,"Chimanta mountains, Venezuela",7,7
5/5/2004,"Carepa, Colombia",7,3
5/6/2004,"Jiech, Sudan",10,6
5/11/2004,"Dalang, Sudan",7,7
5/14/2004,"Near Manaus, Brazil",33,33
5/18/2004,"Bozoy, Kazakhstan",12,1
5/18/2004,"Urumqi, China",7,7
5/23/2004,"Mwingi, Kenya",2,2
5/25/2004,"Near Lukla, Nepal",3,3
6/8/2004,"Off Libreville, Gabon",30,19
6/11/2004,"Belo Horizonte, Brazil",4,4
6/28/2004,"Near Yengema, Sierra Leone",24,24
7/2/2004,"Panama City, Panama",6,6
7/10/2004,"Ticonderoga, New York",2,2
